Prueba 1
T1 T2 %Carga
0.0 0.0 25.0
0.0 0.0 25.0
0.0 0.0 25.0
0.0 0.0 25.0
0.0 0.0 25.0
0.0 0.0 25.0
0.0 0.0 26.0
0.0 0.0 26.0
0.0 0.0 26.0
0.0 0.0 26.0
0.0 0.0 26.0
16.0 0.0 26.0
0.0 0.0 26.0
0.0 0.0 26.0
15.0 0.0 26.0
0.0 0.0 26.0
0.0 0.0 30.0
15.0 0.0 30.0
0.0 0.0 30.0
0.0 0.0 30.0
0.0 15.0 30.0
0.0 0.0 30.0
0.0 0.0 30.0
16.0 0.0 30.0
0.0 0.0 30.0
0.0 0.0 30.0
0.0 0.0 30.0
0.0 0.0 30.0
0.0 0.0 30.0
0.0 0.0 30.0
15.0 0.0 28.3
0.0 0.0 28.3
16.0 0.0 28.3
16.0 0.0 28.3
0.0 0.0 28.3
0.0 0.0 28.3
0.0 0.0 28.3
0.0 0.0 28.3
0.0 0.0 28.3
16.0 0.0 28.3
0.0 0.0 28.3
0.0 0.0 28.3
0.0 0.0 28.1
0.0 0.0 28.1
0.0 16.0 28.1
0.0 0.0 28.1
0.0 0.0 28.1
0.0 0.0 28.1
0.0 0.0 28.1
0.0 0.0 28.1
0.0 0.0 28.1
0.0 0.0 28.1
0.0 0.0 28.1
0.0 0.0 29.1
16.0 0.0 29.1
0.0 0.0 29.1
16.0 0.0 29.1
15.0 0.0 29.1
0.0 0.0 29.1
0.0 0.0 29.1
0.0 0.0 29.1
2.0 16.0 29.1
0.0 0.0 29.1
16.0 0.0 29.1
0.0 0.0 29.1
0.0 0.0 48.5
0.0 0.0 48.5
0.0 0.0 48.5
0.0 0.0 48.5
0.0 0.0 48.5
0.0 0.0 48.5
16.0 0.0 48.5
0.0 0.0 48.5
0.0 0.0 48.5
0.0 0.0 48.5
0.0 0.0 33.7
0.0 0.0 33.7
0.0 0.0 33.7
0.0 0.0 33.7
0.0 0.0 33.7
0.0 0.0 33.7
0.0 0.0 33.7
Numero de Fallas:0
Prueba 3
T1 T2 %Carga
0.0 0.0 0.0
15.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 16.0 0.0
0.0 0.0 0.0
31.0 0.0 0.0
171.0 16.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
16.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
15.0 0.0 0.0
0.0 0.0 31.4
0.0 0.0 31.4
0.0 0.0 31.4
0.0 0.0 31.4
0.0 0.0 31.4
0.0 0.0 31.4
0.0 0.0 31.4
0.0 0.0 31.4
0.0 0.0 31.4
16.0 0.0 31.4
0.0 0.0 31.4
0.0 0.0 28.6
0.0 0.0 28.6
0.0 0.0 28.6
0.0 0.0 28.6
0.0 0.0 28.6
0.0 0.0 28.6
0.0 16.0 28.6
16.0 0.0 28.6
0.0 0.0 28.6
0.0 0.0 28.6
16.0 0.0 28.6
0.0 0.0 28.6
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 31.5
0.0 0.0 31.5
0.0 0.0 31.5
0.0 0.0 31.5
0.0 0.0 31.5
0.0 0.0 31.5
0.0 0.0 31.5
0.0 0.0 31.5
0.0 0.0 31.5
0.0 0.0 31.5
0.0 0.0 31.5
0.0 0.0 31.5
0.0 0.0 31.5
0.0 0.0 32.8
0.0 0.0 32.8
0.0 0.0 32.8
1.0 0.0 32.8
0.0 0.0 32.8
0.0 0.0 32.8
0.0 0.0 32.8
0.0 0.0 32.8
0.0 0.0 32.8
16.0 0.0 26.7
15.0 0.0 26.7
0.0 0.0 26.7
0.0 0.0 26.7
15.0 0.0 26.7
0.0 0.0 26.7
0.0 0.0 26.7
0.0 0.0 26.7
0.0 0.0 26.7
0.0 0.0 26.7
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
1.0 0.0 26.5
2.0 1.0 26.5
16.0 0.0 26.5
0.0 0.0 26.5
16.0 0.0 26.5
17.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 28.0
0.0 0.0 28.0
0.0 0.0 28.0
15.0 0.0 28.0
0.0 0.0 28.0
0.0 0.0 28.0
0.0 0.0 28.0
0.0 0.0 28.0
15.0 0.0 28.0
0.0 0.0 28.0
0.0 0.0 43.0
0.0 0.0 43.0
0.0 0.0 43.0
0.0 0.0 43.0
0.0 0.0 43.0
16.0 0.0 43.0
0.0 0.0 43.0
16.0 0.0 43.0
0.0 0.0 43.0
0.0 0.0 43.0
16.0 0.0 43.0
0.0 0.0 30.3
0.0 0.0 30.3
15.0 0.0 30.3
0.0 0.0 30.3
0.0 0.0 30.3
0.0 0.0 30.3
0.0 0.0 30.3
0.0 0.0 30.3
16.0 0.0 30.3
0.0 0.0 30.3
0.0 0.0 30.3
0.0 0.0 30.3
0.0 0.0 30.3
0.0 0.0 9.1
0.0 0.0 9.1
1.0 0.0 9.1
0.0 0.0 9.1
0.0 0.0 9.1
0.0 0.0 9.1
0.0 0.0 9.1
0.0 0.0 9.1
0.0 0.0 9.1
0.0 0.0 9.1
15.0 0.0 9.1
0.0 0.0 9.1
0.0 0.0 9.1
0.0 0.0 29.3
0.0 0.0 29.3
0.0 0.0 29.3
0.0 0.0 29.3
15.0 0.0 29.3
0.0 16.0 29.3
0.0 0.0 29.3
0.0 0.0 29.3
0.0 16.0 29.3
16.0 0.0 29.3
0.0 0.0 29.3
0.0 0.0 26.5
2.0 1.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 26.5
0.0 0.0 25.0
0.0 0.0 25.0
0.0 0.0 25.0
0.0 0.0 25.0
0.0 0.0 25.0
0.0 0.0 25.0
0.0 0.0 25.0
0.0 0.0 25.0
0.0 0.0 25.0
0.0 0.0 25.0
0.0 0.0 25.0
0.0 0.0 25.0
0.0 0.0 25.0
16.0 0.0 25.0
0.0 0.0 31.0
0.0 0.0 31.0
0.0 0.0 31.0
0.0 0.0 31.0
0.0 0.0 31.0
0.0 0.0 31.0
0.0 0.0 31.0
0.0 0.0 31.0
0.0 0.0 31.0
0.0 0.0 31.0
0.0 0.0 31.0
0.0 0.0 31.0
0.0 0.0 27.4
0.0 0.0 27.4
0.0 0.0 27.4
0.0 0.0 27.4
0.0 0.0 27.4
0.0 0.0 27.4
0.0 0.0 27.4
0.0 0.0 27.4
16.0 0.0 27.4
16.0 0.0 27.4
0.0 0.0 27.4
Numero de Fallas:0
Prueba 4
T1 T2 %Carga
0.0 0.0 37.5
173.0 15.0 37.5
0.0 0.0 37.5
0.0 0.0 37.5
0.0 0.0 37.5
0.0 0.0 37.5
0.0 0.0 37.5
0.0 0.0 37.5
0.0 0.0 37.5
0.0 0.0 37.5
0.0 0.0 37.5
0.0 0.0 37.5
0.0 0.0 37.5
0.0 0.0 37.5
0.0 0.0 37.5
0.0 0.0 37.5
0.0 0.0 37.5
0.0 0.0 37.5
0.0 0.0 37.5
0.0 0.0 37.5
0.0 0.0 32.1
0.0 0.0 32.1
0.0 0.0 32.1
0.0 15.0 32.1
0.0 0.0 32.1
0.0 0.0 32.1
0.0 0.0 32.1
0.0 0.0 32.1
15.0 0.0 32.1
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
15.0 0.0 26.8
16.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 32.8
0.0 0.0 32.8
16.0 0.0 32.8
0.0 0.0 32.8
0.0 0.0 32.8
0.0 0.0 32.8
0.0 0.0 32.8
0.0 0.0 32.8
0.0 0.0 32.8
0.0 0.0 32.8
0.0 0.0 32.8
0.0 0.0 28.3
0.0 0.0 28.3
0.0 0.0 28.3
0.0 0.0 28.3
0.0 0.0 28.3
16.0 0.0 28.3
0.0 0.0 28.3
0.0 0.0 28.3
16.0 0.0 28.3
0.0 0.0 28.3
0.0 0.0 31.3
2.0 0.0 31.3
0.0 0.0 31.3
16.0 0.0 31.3
16.0 0.0 31.3
0.0 0.0 31.3
0.0 0.0 31.3
0.0 0.0 31.3
0.0 0.0 31.3
0.0 0.0 31.3
0.0 0.0 31.3
0.0 0.0 41.8
0.0 0.0 41.8
0.0 0.0 41.8
0.0 0.0 41.8
0.0 0.0 41.8
0.0 0.0 41.8
0.0 0.0 41.8
15.0 0.0 41.8
0.0 0.0 41.8
0.0 0.0 41.8
16.0 0.0 41.8
0.0 0.0 28.9
0.0 0.0 28.9
0.0 0.0 28.9
15.0 0.0 28.9
1.0 0.0 28.9
0.0 0.0 28.9
15.0 0.0 28.9
0.0 0.0 28.9
0.0 0.0 28.9
0.0 0.0 28.9
0.0 0.0 28.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 29.9
0.0 0.0 26.8
0.0 0.0 26.8
0.0 15.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
15.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 27.4
0.0 0.0 27.4
0.0 0.0 27.4
0.0 0.0 27.4
0.0 0.0 27.4
0.0 0.0 27.4
0.0 0.0 27.4
0.0 0.0 27.4
0.0 0.0 27.4
0.0 16.0 27.4
0.0 0.0 27.4
0.0 0.0 27.9
0.0 0.0 27.9
0.0 0.0 27.9
0.0 0.0 27.9
0.0 0.0 27.9
0.0 0.0 27.9
0.0 0.0 27.9
0.0 0.0 27.9
0.0 0.0 27.9
0.0 1.0 27.9
0.0 0.0 27.1
0.0 0.0 27.1
15.0 0.0 27.1
0.0 0.0 27.1
0.0 0.0 27.1
0.0 0.0 27.1
0.0 0.0 27.1
16.0 0.0 27.1
0.0 0.0 27.1
0.0 0.0 27.1
0.0 16.0 27.1
0.0 0.0 27.1
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
0.0 0.0 26.8
16.0 0.0 25.8
0.0 0.0 25.8
16.0 0.0 25.8
0.0 0.0 25.8
15.0 0.0 25.8
0.0 0.0 25.8
0.0 0.0 25.8
0.0 0.0 25.8
0.0 0.0 25.8
0.0 0.0 25.8
0.0 0.0 28.8
16.0 0.0 28.8
31.0 0.0 28.8
0.0 0.0 28.8
0.0 0.0 28.8
0.0 0.0 28.8
0.0 0.0 28.8
0.0 0.0 28.8
0.0 0.0 28.8
0.0 0.0 28.8
0.0 0.0 28.8
0.0 0.0 28.8
0.0 0.0 27.9
0.0 0.0 27.9
0.0 0.0 27.9
0.0 0.0 27.9
0.0 0.0 27.9
0.0 0.0 27.9
16.0 0.0 27.9
0.0 0.0 27.9
0.0 0.0 27.9
0.0 0.0 27.9
0.0 0.0 27.9
0.0 0.0 14.9
0.0 0.0 14.9
0.0 0.0 14.9
0.0 0.0 14.9
0.0 0.0 14.9
Numero de Fallas:0
Prueba 5
T1 T2 %Carga
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
188.0 16.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 0.0
0.0 0.0 29.0
0.0 0.0 29.0
0.0 0.0 29.0
0.0 0.0 29.0
2.0 0.0 29.0
0.0 0.0 29.0
16.0 0.0 29.0
0.0 0.0 29.0
0.0 0.0 29.0
0.0 0.0 29.0
15.0 0.0 29.0
0.0 0.0 27.9
0.0 0.0 27.9
0.0 0.0 27.9
15.0 0.0 27.9
0.0 0.0 27.9
15.0 0.0 27.9
0.0 0.0 27.9
0.0 0.0 27.9
0.0 0.0 27.9
0.0 0.0 30.5
16.0 0.0 30.5
16.0 0.0 30.5
0.0 0.0 30.5
16.0 0.0 30.5
0.0 15.0 30.5
0.0 0.0 30.5
0.0 0.0 30.5
0.0 0.0 30.5
0.0 0.0 30.5
0.0 16.0 30.5
0.0 0.0 30.5
0.0 0.0 34.7
